date,model,id,cat,cited,textHit,domainHit,nSources
2026-07-10,perplexity/sonar,mono-comunicacion-ong-granada,monopolio,0,0,0,6
2026-07-10,perplexity/sonar,mono-subvencion-boja-inclusion,monopolio,0,0,0,8
2026-07-10,perplexity/sonar,mono-fundraising-ong-espana,monopolio,0,0,0,9
2026-07-10,perplexity/sonar,mono-comunicacion-eclesial,monopolio,0,0,0,8
2026-07-10,perplexity/sonar,mono-subvenciones-exito,monopolio,0,0,0,9
2026-07-10,perplexity/sonar,mono-innovacion-social-granada,monopolio,1,1,0,6
2026-07-10,perplexity/sonar,mono-comunicacion-tercer-sector,monopolio,0,0,0,7
2026-07-10,perplexity/sonar,marca-que-es,marca,1,1,1,7
2026-07-10,perplexity/sonar,marca-fundador,marca,1,1,0,7
2026-07-10,perplexity/sonar,marca-servicios,marca,1,1,1,10
2026-07-10,perplexity/sonar,gen-mejores-agencias-ong,generica,0,0,0,2
2026-07-10,perplexity/sonar,gen-plan-comunicacion-ong,generica,0,0,0,7
2026-07-10,perplexity/sonar-pro,mono-comunicacion-ong-granada,monopolio,0,0,0,8
2026-07-10,perplexity/sonar-pro,mono-subvencion-boja-inclusion,monopolio,0,0,0,8
2026-07-10,perplexity/sonar-pro,mono-fundraising-ong-espana,monopolio,0,0,0,9
2026-07-10,perplexity/sonar-pro,mono-comunicacion-eclesial,monopolio,0,0,0,9
2026-07-10,perplexity/sonar-pro,mono-subvenciones-exito,monopolio,0,0,0,9
2026-07-10,perplexity/sonar-pro,mono-innovacion-social-granada,monopolio,1,1,0,7
2026-07-10,perplexity/sonar-pro,mono-comunicacion-tercer-sector,monopolio,0,0,0,8
2026-07-10,perplexity/sonar-pro,marca-que-es,marca,1,1,1,7
2026-07-10,perplexity/sonar-pro,marca-fundador,marca,1,1,1,10
2026-07-10,perplexity/sonar-pro,marca-servicios,marca,1,1,1,10
2026-07-10,perplexity/sonar-pro,gen-mejores-agencias-ong,generica,0,0,0,3
2026-07-10,perplexity/sonar-pro,gen-plan-comunicacion-ong,generica,0,0,0,7
2026-07-17,perplexity/sonar,mono-comunicacion-ong-granada,monopolio,1,1,0,5
2026-07-17,perplexity/sonar,mono-subvencion-boja-inclusion,monopolio,0,0,0,8
