nombre,nif,tipo,n_concesiones,importe_total_eur,ultima_concesion,territorio,ultima_convocatoria,temas
"ASOC PARA EL EMPLEO Y  LA FORMACION DE PERSON AS CON DISCAPACIDAD","G85563302","Asociación/Fundación","2","48979","2026-06-02","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"ERAIKIZ HOMBRES CONSTRUYENDO IGUALDAD-GIZONAK BERDINTASUERAKO DIDEAN","G71340772","Asociación/Fundación","1","14000","2026-06-01","COMUNIDAD FORAL DE NAVARRA","Subvención nominativa a la Asociación Eraikiz para la realiz","igualdad"
"ASOC DE PADRES DE NIÑOS AUTISTAS GUADAL","G19213248","Asociación/Fundación","1","5000","2026-05-29","GUADALAJARA","Concesión de subvención nominativa a la Asociación APANAG pa","inclusión social"
"ASOC DE DISCAPACITADOS DE LANZAROTE","G35046200","Asociación/Fundación","1","741600","2026-05-28","CABILDO INSULAR DE LANZAROTE","SUBVENCIÓN NOMINATIVA A LA ASOCIACIÓN DE PERSONAS CON DISCAP","personas con discapacidad"
"FUNDACION SAN JUAN DE DIOS DE NAVARRA SERVICIOS SOCIALES LA GRANADA","G71516249","Asociación/Fundación","1","40378","2026-05-28","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACION DE PERSONAS CON DISCAPACIDAD ""AMIMET""","G31135106","Asociación/Fundación","2","178815","2026-05-26","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"ASOC DE MAYORES LA VEGA LAGUNERA","G19970169","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC DE MAYORES ROSALAJAS","G56486616","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC CLUB DE PENSIONISTAS ISOGUE DE SAN JUAN DE BA","G38340170","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC. MAYORES VIÑATIGOS CENTENARIOS","G38640769","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC. DE LA 3ª EDAD ICOD DE LOS TRIGOS","G38386462","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC SOCIOCULTURAL DE MUJERES Y DE MAYORES LAS CHICAS DE LAS FLORES","G19348663","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC TERCERA EDAD GUANCHE FLOR Y PALMA 91","G38289856","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"ASOC. DE PERSONAS MAYORES EL APIO","G38323739","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"CLUB TERCERA EDAD LOS CIPRESES","G38443685","Asociación/Fundación","1","6000","2026-05-26","CABILDO INSULAR DE TENERIFE","Convocatoria de las subvenciones destinadas a Clubes y Asoci","personas mayores"
"FUNDACION ASPACE NAVARRA PARA EL EMPLEO","G31794654","Asociación/Fundación","1","205399","2026-05-25","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"FUNDACION BIDEAN LABORAL","G31810898","Asociación/Fundación","1","50008","2026-05-25","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"UNION DE COOP ESPAZOCOOP","G70506662","Asociación/Fundación","1","12000","2026-05-22","CORUÑA, A","Convenio entre ESPAZOCOOP y el Ayuntamiento de A Coruña para","economía social"
